Estadistica,Valor,Unidad
Mejor_Trade_Porcentaje,0.10290217049490182,%
Peor_Trade_Porcentaje,-0.10062727623997303,%
Mediana_Retornos,0.029794415309177716,%
Volatilidad_Retornos,0.05762638550728177,%
Trades_Positivos_Consecutivos_Max,5.0,cantidad
Trades_Negativos_Consecutivos_Max,2.0,cantidad
