time,open,high,low,close,tick_volume,norm_price,norm_volume,price_change,volume_change
2025-06-19 17:50:00,5927.86,5929.61,5927.86,5929.36,17,1.2896051386356808,-1.2712192023486153,0.0002530424132822784,0.0
2025-06-19 17:51:00,5929.61,5929.86,5928.11,5929.11,30,1.055934625704685,-0.047278897170376755,-4.216306650295376e-05,0.7647058823529411
2025-06-19 17:52:00,5929.11,5930.36,5928.86,5930.11,22,1.4694089994411275,-0.8849377312666566,0.00016865937720833557,-0.2666666666666667
2025-06-19 17:53:00,5930.11,5931.11,5929.36,5930.11,36,1.3183887340251543,0.4698657111694435,0.0,0.6363636363636365
2025-06-19 17:54:00,5930.11,5932.36,5930.11,5931.36,27,1.7876991535135476,-0.42640198441544,0.00021078867002466417,-0.25
2025-06-19 17:55:00,5931.61,5934.11,5931.36,5933.36,34,2.3226835692132832,0.21306090842499475,0.00033719079604010993,0.2592592592592593
2025-06-19 17:56:00,5933.36,5933.86,5932.86,5932.86,13,1.8922369665049283,-1.70332841178875,-8.426928418303614e-05,-0.6176470588235294
2025-06-19 17:57:00,5932.86,5932.86,5931.36,5931.36,24,1.0697826675911084,-0.5984272581075107,-0.0002528291582811759,0.8461538461538463
2025-06-19 17:58:00,5931.36,5931.86,5930.61,5931.61,26,1.0851496818189714,-0.31438703685487795,4.21488495050415e-05,0.08333333333333326
2025-06-19 17:59:00,5931.61,5932.36,5931.61,5932.11,22,1.1883442944543312,-0.6929189656506377,8.42941461087765e-05,-0.15384615384615385
2025-06-19 18:00:00,5932.61,5934.86,5931.86,5933.61,54,1.6100847435322971,2.383796614217989,0.00025286112361366797,1.4545454545454546
2025-06-19 18:01:00,5933.61,5933.86,5932.86,5933.36,35,1.3523097119582197,0.5071937370682746,-4.2132866838184846e-05,-0.35185185185185186
2025-06-19 18:02:00,5933.36,5933.36,5932.36,5933.11,16,1.133844799761857,-1.2047534364372292,-4.213464209146256e-05,-0.5428571428571429
2025-06-19 18:03:00,5932.98,5933.11,5932.36,5932.86,17,0.954502123807168,-1.001669135203641,-4.213641749439834e-05,0.0625
2025-06-19 18:04:00,5932.61,5933.61,5932.36,5933.36,15,1.1356865340344515,-1.1145885753531173,8.427638609376231e-05,-0.11764705882352944
2025-06-19 18:05:00,5933.36,5933.61,5933.11,5933.36,13,1.035879098922466,-1.2208999421635816,0.0,-0.1333333333333333
2025-06-19 18:06:00,5933.36,5934.36,5933.36,5934.11,9,1.2656108044272034,-1.4372108421193597,0.0001264039262744987,-0.3076923076923077
2025-06-19 18:07:00,5933.86,5935.11,5933.36,5934.86,26,1.5201449507225573,0.1751153717184375,0.00012638795034125572,1.8888888888888888
2025-06-19 18:08:00,5934.86,5935.11,5931.86,5932.61,36,0.3145423220767238,1.0673298532194178,-0.0003791159353380147,0.3846153846153846
2025-06-19 18:09:00,5932.86,5933.36,5929.86,5929.86,48,-1.3491337953581013,1.8537724635958557,-0.0004635396562390204,0.33333333333333326
2025-06-19 18:10:00,5929.86,5931.61,5929.61,5930.86,33,-0.8478358271795557,0.5268555504642918,0.00016863804541755734,-0.3125
2025-06-19 18:11:00,5930.86,5931.11,5930.36,5930.61,13,-1.1435232045878942,-1.0673435194234713,-4.2152402855544224e-05,-0.6060606060606061
2025-06-19 18:12:00,5930.61,5931.36,5930.36,5931.36,16,-0.7059961000415756,-0.7840020983821849,0.00012646253926651418,0.23076923076923084
2025-06-19 18:13:00,5931.36,5935.23,5931.36,5934.36,41,1.3453758762148444,1.2005319090837163,0.0005057861940600539,1.5625
2025-06-19 18:14:00,5934.36,5936.23,5933.36,5933.36,82,0.5363108224661951,3.002034609602614,-0.000168510167903535,1.0
2025-06-19 18:15:00,5933.61,5934.86,5933.48,5933.61,30,0.7106905103296094,0.0874206555837577,4.213464209157358e-05,-0.6341463414634146
2025-06-19 18:16:00,5933.61,5934.11,5931.86,5934.11,46,1.0089153844922858,0.8956540247971544,8.426573367636969e-05,0.5333333333333334
2025-06-19 18:17:00,5933.98,5933.98,5932.61,5933.61,22,0.5741984536818232,-0.4495860980662859,-8.425863356087415e-05,-0.5217391304347826
2025-06-19 18:18:00,5933.61,5933.86,5932.61,5932.61,12,-0.20831162589857033,-0.9489945900798838,-0.00016853146735296143,-0.4545454545454546
2025-06-19 18:19:00,5932.61,5934.86,5932.61,5934.86,29,1.3342759293556763,-0.035814038325400685,0.0003792597187410873,1.4166666666666665
