time,open,high,low,close,tick_volume,spread,real_volume,SMA_20,SMA_50,RSI,Signal
1750352040,5922.23,5922.98,5921.86,5922.36,60,40,0,5928.7155,5936.4962,29.52380952380952,-1
1750352100,5922.11,5925.48,5921.98,5925.23,83,40,0,5928.058999999999,5936.1772,37.433909058864764,-1
1750352160,5925.11,5926.36,5923.98,5926.23,65,40,0,5927.515,5935.9256000000005,40.24939383442997,-1
1750352220,5926.23,5926.73,5925.61,5926.11,78,40,0,5927.034,5935.6566,39.56158663883082,-1
1750352280,5926.11,5926.86,5924.61,5925.36,56,40,0,5926.678,5935.4276,38.885088919288556,-1
1750352340,5925.36,5926.23,5924.36,5924.36,40,40,0,5926.2029999999995,5935.143599999999,37.91263754584853,-1
1750352400,5924.48,5927.61,5924.48,5926.11,72,40,0,5925.852999999999,5934.884600000001,44.30935494765295,-1
1750352460,5926.11,5926.11,5922.36,5922.61,70,40,0,5925.365499999999,5934.5406,46.87388352983206,-1
1750352520,5922.86,5924.36,5922.36,5923.61,44,40,0,5924.9529999999995,5934.2042,62.78345931525134,-1
1750352580,5923.61,5924.86,5923.36,5924.36,54,40,0,5924.565499999999,5933.880199999999,56.49688149688157,-1
1750352640,5924.36,5926.86,5924.36,5926.86,59,40,0,5924.3155,5933.6012,60.12386850881383,-1
1750352700,5926.86,5929.48,5926.86,5929.11,51,40,0,5924.1905,5933.3571999999995,70.84325869461671,-1
1750352760,5929.11,5929.23,5927.86,5927.86,21,40,0,5924.1095,5933.0782,62.664640324214936,-1
1750352820,5927.86,5929.61,5927.86,5929.61,24,40,0,5924.371999999999,5932.829199999999,68.08100289296065,-1
1750352880,5929.61,5930.86,5929.36,5929.61,43,40,0,5924.959499999999,5932.580199999999,67.6915568570036,-1
1750352940,5929.61,5929.86,5927.11,5928.36,50,40,0,5925.2845,5932.3012,58.29358770535275,-1
1750353000,5928.36,5930.36,5928.36,5930.23,20,40,0,5925.6655,5932.057199999999,60.131712259371945,-1
1750353060,5930.23,5930.36,5929.61,5929.61,18,40,0,5926.128,5931.8182,58.64624505928863,-1
1750353120,5929.61,5930.61,5929.61,5929.86,19,40,0,5926.478,5931.574199999999,61.39817629179344,-1
1750353180,5929.86,5929.86,5928.98,5928.98,32,40,0,5926.8215,5931.2702,61.77370030581019,-1
1750353240,5928.98,5929.61,5928.86,5929.36,16,40,0,5927.1714999999995,5930.9762,58.9041095890411,-1
1750353300,5929.36,5930.86,5929.36,5930.61,30,40,0,5927.4405,5930.7022,75.0,-1
1750353360,5930.48,5931.11,5929.61,5929.86,36,40,0,5927.621999999999,5930.3982000000005,69.84126984126983,-1
1750353420,5929.86,5930.86,5929.61,5930.61,21,40,0,5927.847,5930.1142,69.84126984126983,-1
1750353480,5930.61,5930.86,5929.61,5930.11,17,40,0,5928.084499999999,5929.8352,61.81818181818181,-1
1750353540,5930.11,5930.36,5929.61,5929.61,15,40,0,5928.347,5929.5262,52.08333333333334,-1
1750353600,5929.61,5929.86,5928.11,5929.61,45,40,0,5928.522,5929.2572,58.13953488372093,-1
1750353660,5929.61,5930.86,5929.11,5930.11,46,40,0,5928.897,5928.998199999999,52.631578947368425,-1
1750353720,5930.11,5931.23,5930.11,5930.86,34,40,0,5929.2595,5928.789199999999,56.09756097560975,1
1750353780,5930.86,5931.11,5929.86,5930.36,28,40,0,5929.5595,5928.586799999999,60.526315789473685,1
1750353840,5930.36,5930.86,5930.11,5930.36,21,40,0,5929.7345000000005,5928.3967999999995,50.851900393185495,1
1750353900,5930.36,5931.36,5930.11,5930.61,16,40,0,5929.809499999999,5928.241800000001,56.887052341597595,1
1750353960,5930.86,5931.11,5930.36,5930.61,9,40,0,5929.946999999999,5928.1118,55.34950071326659,1
